,raw,vae,simclr,simclr_pca
0,19.632000000000005,18.47,73.414,76.454
1,19.637999999999998,18.491999999999997,66.946,74.302
2,19.643999999999995,18.516,74.628,78.328
3,19.645999999999997,18.403999999999996,72.31,76.466
4,19.643999999999995,18.336,72.324,76.584
5,19.648,18.845999999999997,74.646,74.28200000000001
6,20.132000000000005,18.592,72.61800000000001,76.518
7,20.077999999999996,18.958,74.628,74.42999999999999
8,20.26,18.610000000000003,74.646,74.35000000000001
9,20.279999999999998,18.633999999999993,74.624,74.262
10,19.657999999999998,18.876000000000005,67.00399999999999,76.47
11,19.621999999999996,18.899999999999995,74.634,75.878
12,20.118000000000002,18.674000000000003,74.64,76.606
13,19.650000000000002,18.991999999999997,66.966,77.00200000000001
14,19.633999999999997,18.618000000000002,74.614,78.266
15,20.323999999999998,18.55,74.644,76.604
16,19.994,17.157999999999994,74.63,76.606
17,19.662000000000003,18.557999999999996,74.628,74.346
18,19.630000000000003,18.433999999999994,74.64,78.274
19,19.674000000000003,18.58,72.31400000000001,78.312
20,19.723999999999997,18.655999999999995,74.646,78.23
21,19.665999999999993,18.911999999999995,74.054,78.278
22,19.633999999999997,14.461999999999996,74.646,74.466
23,19.643999999999995,18.528,74.624,74.32000000000001
24,19.674000000000003,18.628,74.388,74.322
25,20.062,18.942000000000004,66.966,76.592
26,20.216,14.151999999999997,74.642,76.58
27,19.677999999999997,17.781999999999996,74.63,76.608
28,19.637999999999998,18.389999999999993,66.95800000000001,76.924
29,19.636,18.894,74.644,78.282
30,19.650000000000002,18.555999999999994,74.804,77.122
31,19.782,17.878000000000004,72.32600000000001,76.468
32,19.66,18.428,74.628,76.77199999999999
33,19.655999999999995,18.662,72.324,76.464
34,19.686000000000003,17.434000000000005,74.634,76.59
35,20.192,17.316,66.95599999999999,76.59400000000001
36,19.630000000000003,17.457999999999995,74.648,76.52
37,20.194000000000003,18.454000000000004,72.31400000000001,73.182
38,19.56,17.656000000000006,74.614,78.318
39,20.243999999999996,18.662,74.644,76.708
40,19.657999999999998,18.674000000000003,74.628,76.62
41,20.187999999999995,17.988000000000003,74.82,74.266
42,19.689999999999998,18.618000000000002,66.52199999999999,72.75
43,19.689999999999998,18.418,73.414,72.454
44,20.404,18.628,74.392,76.592
45,19.584000000000003,18.478000000000005,74.622,76.588
46,19.636,18.496000000000002,74.61800000000001,76.606
47,19.643999999999995,18.574,74.632,76.442
48,19.694,18.635999999999996,75.202,78.25999999999999
49,19.648,18.586000000000002,74.634,73.238
50,20.220000000000006,18.281999999999996,72.312,76.506
51,19.706000000000003,18.510000000000005,74.62599999999999,76.516
52,20.109999999999996,17.545999999999996,74.632,76.762
53,19.645999999999997,18.438,74.638,77.11399999999999
54,20.323999999999998,17.304,72.312,78.35600000000001
55,20.023999999999997,17.781999999999996,74.64999999999999,78.254
56,19.650000000000002,18.208000000000002,74.644,76.614
57,19.58,18.167999999999996,72.312,76.522
58,19.616,18.703999999999997,75.196,76.59
59,19.645999999999997,14.637999999999995,74.642,78.31
60,19.650000000000002,18.982,74.802,76.47200000000001
61,19.608000000000004,18.976000000000003,72.32600000000001,67.682
62,20.238,18.401999999999997,74.808,76.644
63,20.316000000000003,18.362000000000002,72.31400000000001,74.30600000000001
64,19.735999999999997,18.508000000000003,74.646,76.562
65,19.657999999999998,19.084,72.33000000000001,76.0
66,19.699999999999996,18.45,74.64,76.348
67,19.974000000000004,19.099999999999994,74.806,75.356
68,19.648,19.052000000000003,74.616,76.596
69,19.621999999999996,18.674000000000003,74.836,73.224
70,19.620000000000005,17.889999999999993,72.32600000000001,76.584
71,20.436,17.84,74.644,76.48
72,19.637999999999998,18.498000000000005,74.05,78.25999999999999
73,19.674000000000003,18.592,72.33800000000001,75.008
74,19.714,18.586000000000002,74.642,76.634
75,20.267999999999997,18.56,66.95400000000001,76.588
76,19.652,17.818,72.32799999999999,76.596
77,19.735999999999997,18.584,66.964,74.35199999999999
78,19.674000000000003,17.400000000000006,74.63,76.76
79,20.289999999999996,18.667999999999996,74.632,76.6
80,19.650000000000002,18.532000000000004,74.64,70.86
81,19.621999999999996,17.334000000000003,72.312,71.97200000000001
82,20.277999999999995,17.490000000000006,72.31400000000001,76.47200000000001
83,20.098000000000006,18.666000000000004,72.334,76.608
84,19.652,18.182,72.312,70.896
85,19.636,17.474,74.63,73.25
86,19.654000000000003,18.601999999999997,74.632,76.608
87,19.669999999999998,18.622000000000007,74.638,76.614
88,19.684,18.15,72.312,66.892
89,20.369999999999997,18.386000000000003,74.648,78.282
90,19.630000000000003,18.488000000000003,74.64,78.35
91,20.267999999999997,18.45,74.64,72.044
92,19.952,18.574,74.642,76.582
93,20.291999999999998,18.642000000000003,72.31400000000001,76.596
94,19.789999999999996,18.510000000000005,66.988,78.106
95,19.704,18.832000000000004,72.32600000000001,76.466
96,19.677999999999997,17.945999999999994,74.634,76.586
97,20.409999999999997,18.672,74.646,76.468
98,19.662000000000003,18.142000000000003,74.644,78.246
99,19.684,17.784,72.32799999999999,76.586
