raw,vae,simclr,simclr_pca
57.531666666666666,51.501666666666665,54.64666666666667,59.92999999999999
57.52666666666666,54.635,64.00166666666667,63.464999999999996
59.62166666666666,51.87166666666667,54.641666666666666,60.50833333333333
57.538333333333334,55.10666666666666,53.86833333333334,57.57833333333333
56.2,47.553333333333335,53.459999999999994,60.980000000000004
55.20833333333333,54.836666666666666,59.99333333333333,59.220000000000006
56.011666666666656,54.623333333333335,59.953333333333326,59.471666666666664
57.43666666666667,54.278333333333336,60.83166666666666,58.528333333333336
57.531666666666666,51.735,54.655,54.336666666666666
57.529999999999994,48.09166666666667,63.97833333333334,60.980000000000004
55.21333333333334,51.803333333333335,61.19,60.48166666666667
57.528333333333336,48.35333333333334,60.885,54.339999999999996
57.529999999999994,51.76666666666667,61.36333333333332,54.336666666666666
57.43000000000001,51.86333333333333,58.77,58.51
60.968333333333334,56.345,57.15166666666667,59.43333333333334
57.54,48.165,57.923333333333325,57.58
57.52666666666666,48.21833333333333,63.99333333333333,60.97833333333333
57.52166666666667,52.395,57.946666666666665,57.565
57.538333333333334,51.83,54.63666666666667,58.533333333333324
57.531666666666666,51.83166666666666,60.83166666666666,54.333333333333336
57.523333333333326,56.37333333333333,55.786666666666676,58.523333333333326
57.54,55.26333333333333,54.66,53.33
57.43000000000001,54.63333333333333,58.86666666666667,58.519999999999996
55.21666666666667,48.13499999999999,54.655,54.345
57.531666666666666,54.625,59.958333333333336,54.335
57.42833333333333,51.818333333333335,61.365,57.553333333333335
56.20166666666666,51.763333333333335,60.89,60.480000000000004
56.19333333333334,52.39333333333334,58.765,60.475
57.54166666666667,51.48666666666666,63.998333333333335,58.529999999999994
57.523333333333326,51.76166666666666,63.97833333333334,58.53166666666667
57.533333333333324,51.83,60.828333333333326,60.475
57.52666666666666,52.40166666666667,54.66166666666666,54.343333333333334
57.523333333333326,54.63666666666667,54.66166666666666,59.458333333333336
57.529999999999994,55.26166666666666,59.95166666666667,54.333333333333336
57.52666666666666,51.82833333333333,54.66166666666666,54.333333333333336
57.528333333333336,48.23166666666666,58.77,60.475
59.434999999999995,51.751666666666665,58.76833333333333,58.51833333333334
57.525000000000006,48.37166666666667,60.00833333333333,58.51500000000001
55.21499999999999,52.46333333333333,54.66166666666666,57.565
57.528333333333336,54.63,63.99,57.574999999999996
55.21333333333334,55.26,60.89,57.555
