0,100,200,300,400,500,600,700,800,900,1000
19.606,61.318000000000005,54.384,66.724,74.402,77.4,77.52,76.42599999999999,76.53999999999999,76.334,78.24
20.574000000000005,58.589999999999996,58.512,66.85,75.482,77.668,76.934,66.732,76.86999999999999,75.336,78.278
20.612,49.897999999999996,55.24,64.054,74.256,76.58,76.898,78.334,76.542,76.354,76.59400000000001
20.223999999999997,58.592,54.116,66.57,73.15,76.66199999999999,76.924,76.482,76.53999999999999,76.32600000000001,76.586
19.618000000000002,61.31999999999999,57.618,65.556,74.404,76.492,76.79400000000001,76.73400000000001,78.534,76.848,77.18599999999999
19.596000000000004,53.977999999999994,59.156,63.260000000000005,73.114,76.616,76.362,76.458,76.42999999999999,76.64800000000001,66.896
20.587999999999994,58.59799999999999,58.516,66.364,74.30799999999999,76.582,76.944,73.036,75.426,76.342,78.302
20.599999999999994,49.651999999999994,57.635999999999996,66.702,73.16,76.592,76.932,76.37,76.53,76.334,72.70400000000001
20.589999999999996,56.552,55.484,63.278,74.396,76.578,77.672,76.47,76.53999999999999,76.774,73.22800000000001
19.604,58.606,54.068000000000005,66.718,73.13799999999999,75.1,76.762,76.46,75.224,76.39,76.582
20.604,55.66,61.402,70.458,74.31400000000001,77.716,76.39,74.878,76.53999999999999,76.726,76.658
20.57,55.338,53.542,70.44200000000001,74.404,77.656,78.0,76.718,76.86,76.374,76.584
20.572000000000003,60.866,55.226,66.58200000000001,74.388,77.672,66.85600000000001,76.434,76.48,76.334,75.998
20.589999999999996,60.85,54.06999999999999,66.718,74.398,73.12799999999999,76.958,70.948,76.546,76.434,76.468
20.57,55.34,57.63199999999999,66.05199999999999,74.31,76.622,75.698,72.58800000000001,76.42999999999999,76.664,76.592
20.606,53.632000000000005,58.504,66.63399999999999,74.30799999999999,76.578,76.998,76.44800000000001,76.86800000000001,76.71,76.586
20.582,58.59799999999999,55.525999999999996,70.47,73.18,77.684,76.63600000000001,76.44800000000001,76.544,76.302,77.018
20.586000000000006,55.654,55.528,66.69800000000001,73.10799999999999,76.576,73.25,76.484,75.164,74.958,77.11
20.630000000000003,61.328,54.54600000000001,66.58800000000001,73.13199999999999,75.944,76.94,76.476,76.864,76.298,70.778
19.625999999999998,61.321999999999996,55.53399999999999,66.038,75.762,76.582,76.94,76.446,76.432,76.334,76.92999999999999
