raw,vae,simclr,simclr_pca
71.62666666666667,96.62833333333334,97.02666666666666,83.97333333333333
71.77666666666667,82.57166666666666,84.45,83.08166666666666
71.75833333333334,96.63000000000001,97.025,83.06833333333333
71.64666666666666,96.63166666666667,97.025,83.07666666666667
71.78833333333333,82.56,97.025,96.60833333333333
80.31,96.63000000000001,97.025,96.61
71.62666666666667,82.57166666666666,97.025,82.43333333333334
71.785,96.63166666666667,82.99499999999999,96.60833333333333
68.33333333333333,96.63166666666667,82.89,96.60666666666667
71.62666666666667,96.63000000000001,97.025,96.60833333333333
80.33666666666667,82.57833333333333,83.11,83.98166666666667
65.13166666666666,82.57,82.21666666666667,83.07666666666667
71.635,96.63000000000001,97.025,96.60666666666667
65.75166666666668,82.56166666666667,82.89,83.33333333333334
68.33333333333333,87.05333333333334,97.025,82.42166666666665
71.78999999999999,96.63000000000001,97.025,96.60833333333333
71.77833333333334,87.355,82.89,83.07833333333333
71.01833333333335,96.63000000000001,83.08,96.60833333333333
68.33833333333334,82.57166666666666,82.29833333333335,96.60833333333333
71.79166666666667,96.63000000000001,97.025,96.60833333333333
71.78666666666666,82.57166666666666,82.32166666666667,82.42166666666665
68.32000000000001,82.56,83.01666666666667,82.43166666666667
74.24666666666666,82.575,97.025,83.075
71.62666666666667,82.56166666666667,97.025,96.60666666666667
71.62666666666667,82.56166666666667,97.025,83.07666666666667
71.635,96.62833333333334,97.025,83.38333333333333
68.32000000000001,96.63000000000001,82.35,83.06666666666666
71.635,96.63000000000001,83.23333333333333,96.60666666666667
71.62666666666667,96.63000000000001,97.025,83.06666666666666
71.61833333333334,96.63000000000001,82.24166666666667,96.60833333333333
74.22500000000001,82.56166666666667,97.025,82.42166666666665
71.62666666666667,96.63166666666667,97.025,96.60833333333333
71.62333333333333,82.56166666666667,82.35166666666667,83.07833333333333
71.785,82.57333333333334,97.025,83.38333333333333
74.22500000000001,82.57166666666666,82.98166666666667,96.60833333333333
68.33666666666667,96.62833333333334,97.025,82.47
71.62666666666667,82.57,97.025,96.60833333333333
71.62666666666667,82.57333333333334,82.24666666666667,83.97333333333333
71.00999999999999,96.63000000000001,82.89166666666667,82.46833333333333
71.64833333333334,96.62833333333334,97.025,82.42166666666665
71.81,82.56,82.24666666666667,83.37833333333333
74.215,82.56,97.025,96.60833333333333
71.62666666666667,96.62833333333334,97.025,82.46833333333333
71.79333333333334,82.25166666666667,82.99166666666666,83.975
71.78999999999999,87.05333333333334,97.025,96.60833333333333
71.635,96.63166666666667,82.89,96.60833333333333
71.77833333333334,96.63000000000001,82.89,82.42833333333334
71.785,82.03,97.025,96.60833333333333
68.33500000000001,96.63000000000001,83.33,96.60833333333333
74.33333333333334,82.56166666666667,97.025,82.42166666666665
71.62666666666667,82.57166666666666,97.025,83.83500000000001
71.00833333333334,82.57166666666666,82.79333333333334,96.60833333333333
65.75666666666666,96.63000000000001,82.24666666666667,82.48166666666667
65.91833333333334,96.63000000000001,82.89,83.06666666666666
71.62666666666667,82.56166666666667,97.025,82.43333333333334
71.635,82.56166666666667,83.815,83.07833333333333
71.63166666666667,82.56166666666667,97.025,96.60666666666667
71.78999999999999,96.63000000000001,83.46000000000001,96.60666666666667
74.33000000000001,82.57166666666666,97.025,96.60666666666667
71.01666666666667,96.62833333333334,83.08,82.47833333333332
68.32166666666667,96.63166666666667,82.97333333333333,96.60833333333333
71.75333333333333,82.57166666666666,82.785,96.60833333333333
71.79166666666667,82.25333333333333,82.97,83.06833333333333
71.62666666666667,82.56166666666667,88.03999999999999,96.60666666666667
71.775,96.63000000000001,82.35166666666667,83.33333333333334
68.33666666666667,96.63166666666667,97.025,96.60833333333333
71.635,82.56166666666667,83.475,96.60666666666667
71.78666666666666,82.56166666666667,83.225,96.60833333333333
71.63333333333333,96.63000000000001,97.025,82.47666666666666
71.62666666666667,82.56166666666667,84.35666666666667,73.19333333333333
65.13666666666667,82.56166666666667,97.025,82.46833333333333
71.775,82.56,82.21333333333334,82.42166666666665
68.31666666666666,96.63000000000001,82.44333333333333,96.60833333333333
68.33666666666667,96.63000000000001,97.025,83.33333333333334
71.78666666666666,96.62833333333334,82.97,83.07666666666667
68.34666666666666,82.565,82.78666666666666,96.61
71.81166666666667,96.63000000000001,97.025,83.06833333333333
71.635,82.57,84.24000000000001,96.60833333333333
71.635,96.62833333333334,83.49333333333333,96.61
71.015,82.57333333333334,97.025,83.07833333333333
71.61666666666666,96.63000000000001,83.47333333333333,96.61166666666666
71.635,96.63000000000001,82.88833333333334,96.61
65.13833333333334,82.57333333333334,82.24666666666667,83.07833333333333
68.34833333333333,86.67166666666667,97.025,82.43166666666667
71.78166666666667,96.63000000000001,84.35166666666667,82.47166666666666
68.33333333333333,96.63000000000001,82.785,83.97833333333334
71.635,96.63166666666667,82.97,83.975
71.78833333333333,82.56833333333333,82.80666666666667,83.06666666666666
71.635,96.63000000000001,82.99499999999999,83.08
71.62666666666667,82.57666666666667,97.025,83.07
68.34666666666666,82.57166666666666,82.88666666666667,96.60833333333333
71.62666666666667,96.63000000000001,97.025,96.60666666666667
71.635,96.63166666666667,82.41166666666666,82.425
71.00666666666666,86.67166666666667,82.82000000000001,83.98
71.62666666666667,96.63000000000001,97.02666666666666,82.43
68.33333333333333,82.56166666666667,84.23833333333334,83.97666666666666
71.015,96.63000000000001,97.025,82.42166666666665
71.635,82.56,97.025,83.07666666666667
71.77,82.56,82.88833333333334,83.07
71.78999999999999,82.57,82.89,96.60833333333333
