0,100,200,300,400,500,600,700,800,900,1000
72.85333333333332,83.38333333333333,96.89999999999999,82.39833333333333,82.54,83.82166666666666,82.60166666666666,82.90166666666667,82.50833333333334,97.58833333333334,87.04499999999999
67.35833333333333,83.07166666666667,82.175,82.39833333333333,82.55,84.41666666666667,82.585,82.89999999999999,82.50999999999999,97.59166666666667,87.94999999999999
72.86,83.33833333333334,96.89999999999999,82.39666666666666,96.36166666666666,82.44500000000001,82.52833333333334,87.71833333333333,82.50500000000001,82.82333333333334,82.69999999999999
72.87166666666667,83.08,96.89833333333333,82.39833333333333,82.535,83.82000000000001,82.52833333333334,82.515,82.50500000000001,87.95166666666667,82.71666666666665
67.53333333333333,82.42,96.90333333333334,82.39833333333333,83.99833333333333,84.42166666666667,82.53833333333334,82.50666666666666,82.50166666666668,82.82833333333333,82.70333333333333
67.34666666666666,83.075,96.89999999999999,82.4,82.53666666666668,84.42333333333335,82.59666666666666,83.54833333333333,82.51333333333332,82.81833333333333,82.70166666666667
72.86166666666666,96.60666666666667,96.89999999999999,82.4,83.99333333333333,84.40833333333333,82.53166666666667,82.51166666666667,82.50666666666666,82.84333333333333,82.70333333333333
72.86166666666666,96.60833333333333,73.10166666666666,82.39833333333333,82.53666666666668,83.84,82.60000000000001,82.50500000000001,82.50999999999999,97.59166666666667,82.71333333333332
72.88,96.60666666666667,84.975,82.40333333333334,82.54,83.80166666666666,82.595,82.89999999999999,82.51166666666667,82.83333333333334,82.70333333333333
72.86166666666666,83.07166666666667,82.17166666666667,82.39666666666666,82.55166666666666,83.84666666666666,82.59,82.89999999999999,82.50999999999999,82.81166666666667,82.71333333333332
67.535,96.60833333333333,83.635,82.39833333333333,82.535,84.42,82.53,82.89833333333333,97.38833333333334,82.82499999999999,82.69999999999999
72.88,83.06666666666666,83.63333333333334,82.39833333333333,82.535,87.56666666666668,82.51166666666667,82.50500000000001,82.50833333333334,82.82333333333334,82.70166666666667
72.85833333333333,83.06833333333333,96.89833333333333,82.4,82.54833333333333,82.40833333333333,82.51166666666667,82.50666666666666,82.51166666666667,82.83833333333334,82.70166666666667
67.52833333333334,83.97666666666666,96.89999999999999,82.39666666666666,82.54,83.81,82.535,97.34166666666667,82.50833333333334,82.83833333333334,82.70333333333333
72.85666666666665,96.61333333333333,84.97833333333334,82.39833333333333,83.98833333333333,87.55833333333334,82.54166666666667,84.18166666666667,82.51666666666667,87.95166666666667,82.72
72.86666666666667,96.60833333333333,96.90166666666667,82.4,82.545,82.43833333333333,82.515,74.56833333333333,82.50833333333334,82.83833333333334,82.70166666666667
72.86166666666666,83.08,72.89,74.08833333333334,82.54,83.83666666666667,82.575,82.515,82.50999999999999,82.82833333333333,87.94999999999999
72.88,83.38166666666666,83.60499999999999,72.54499999999999,82.54,82.41666666666667,82.55333333333333,83.535,82.50666666666666,97.59333333333333,87.94999999999999
72.86166666666666,96.61333333333333,96.90166666666667,72.55333333333334,82.53666666666668,84.42333333333335,97.08333333333333,82.90166666666667,82.50666666666666,82.84333333333333,82.71833333333333
72.85833333333333,82.48166666666667,96.90333333333334,82.39666666666666,73.35000000000001,83.80666666666666,82.535,82.51166666666667,97.38833333333334,82.845,82.69999999999999
