0,100,200,300,400,500,600,700,800,900,1000
20.226,61.766,59.692,63.184,74.08,74.882,74.702,74.62599999999999,74.874,72.296,72.31400000000001
19.618000000000002,58.484,57.214,65.84,71.654,73.892,74.662,74.848,72.436,73.906,74.644
20.157999999999998,59.017999999999994,56.566,65.87799999999999,71.654,66.512,74.706,74.636,74.896,74.788,74.648
19.642000000000003,59.43000000000001,57.274,66.794,73.57400000000001,74.71600000000001,72.414,74.388,72.454,74.788,74.64
19.628,56.406,55.454,66.792,72.856,74.706,74.704,74.636,67.04,74.79199999999999,72.31400000000001
20.108000000000004,59.017999999999994,62.82,66.622,71.646,74.71,72.41199999999999,74.638,71.952,74.20599999999999,72.312
19.616,55.15,56.397999999999996,66.774,76.41,66.51400000000001,74.648,74.622,72.434,74.758,74.628
19.682,62.37200000000001,59.738,65.83600000000001,73.148,74.706,72.41199999999999,66.896,74.852,73.896,74.628
20.06,59.804,56.76,66.81,76.412,74.71600000000001,72.41,74.86200000000001,72.82600000000001,72.306,74.632
20.289999999999996,62.378,56.035999999999994,66.796,72.86,74.7,72.428,72.316,72.00800000000001,67.03,66.97800000000001
19.608000000000004,61.775999999999996,63.104000000000006,63.178,75.38199999999999,74.388,74.678,74.616,72.434,72.18,74.632
19.588000000000005,56.391999999999996,57.18600000000001,65.846,72.97,67.256,72.41199999999999,72.336,72.432,72.3,74.64
20.279999999999998,62.373999999999995,59.714,66.646,71.654,67.25999999999999,74.32000000000001,74.636,74.866,74.732,72.31400000000001
20.214,62.36999999999999,59.724,63.202000000000005,74.078,72.366,74.74000000000001,74.636,71.928,73.44,74.644
19.694,59.034,56.025999999999996,66.78399999999999,76.31,74.704,74.656,72.318,72.438,74.774,74.624
19.677999999999997,62.37200000000001,59.26199999999999,63.193999999999996,73.114,74.706,72.41,72.318,74.874,74.74000000000001,74.03999999999999
19.637999999999998,60.544,59.716,66.796,73.142,74.69399999999999,74.706,74.614,71.952,74.368,67.00399999999999
19.704,62.366,59.21799999999999,65.872,76.402,66.458,74.75,74.616,74.852,67.02,72.31400000000001
19.718000000000004,62.378,59.68,66.602,73.014,67.252,74.7,74.638,71.956,74.34799999999998,66.998
19.623999999999995,62.364,59.196000000000005,66.756,76.414,74.88600000000001,72.58800000000001,74.624,71.95,72.292,74.632
