dataset,knn,fc,adaptive,biclique,PCAN
iris,0.006201362609863282,0.0012068986892700196,0.002163338661193848,0.0015381932258605956,0.23961859941482544
wine,0.0018062472343444824,0.0011792421340942384,0.0018432974815368653,0.0012303948402404784,0.18261475563049318
seeds,0.0016852974891662597,0.0013666152954101562,0.001430046558380127,0.0015115022659301757,0.21633116006851197
breast_cancer,0.002992391586303711,0.0049052596092224125,0.0024315834045410155,0.0021105527877807615,0.5381326913833618
mnist,0.01625525951385498,0.0773124098777771,0.016561806201934814,0.043709611892700194,13.091034853458405
