dataset,r,mean,std
CIFAR_raw,2,20.726300000000002,0.0909071822766141
CIFAR_vae,2,27.274099999999994,0.6227211845474744
CIFAR_simclr,2,77.5249,0.6569519649186895
CIFAR_simclr_pca,2,75.26920000000001,2.919881208830969
FMNIST_raw,2,55.208249999999985,2.20865916000811
FMNIST_vae,2,55.52916666666666,1.6487515656235778
FMNIST_simclr,2,59.334500000000006,2.826427347325172
FMNIST_simclr_pca,2,57.63608333333333,3.625965218341163
MNIST_raw,2,71.23041666666666,1.7125128483745617
MNIST_vae,2,89.38783333333332,7.132232147747069
MNIST_simclr,2,90.3614166666667,7.380279739127631
MNIST_simclr_pca,2,88.90549999999999,7.059010709227065
CIFAR_raw,4,21.657500000000002,0.42480800616897935
CIFAR_vae,4,23.566300000000005,0.165294346704995
CIFAR_simclr,4,72.56710000000001,3.029806002127251
CIFAR_simclr_pca,4,73.04509999999999,3.1930760272485665
FMNIST_raw,4,53.10275,2.351561461769505
FMNIST_vae,4,62.533416666666675,1.727875556878586
FMNIST_simclr,4,53.19749999999999,4.686935041977783
FMNIST_simclr_pca,4,50.71225,2.2917783561299574
MNIST_raw,4,76.66516666666664,2.694189811926779
MNIST_vae,4,91.93266666666668,2.1170536598845136
MNIST_simclr,4,78.36208333333333,4.069111138876196
MNIST_simclr_pca,4,63.951666666666675,4.821119443662277
CIFAR_raw,6,21.536100000000005,0.37273016908665807
CIFAR_vae,6,26.222700000000003,0.72538607506261
CIFAR_simclr,6,63.463699999999996,2.632252289540172
CIFAR_simclr_pca,6,66.07110000000002,2.8869079780422875
FMNIST_raw,6,44.08966666666666,3.2360399053481803
FMNIST_vae,6,58.12758333333333,0.15230055983585777
FMNIST_simclr,6,45.52408333333333,3.083330036745511
FMNIST_simclr_pca,6,45.31216666666667,2.1623374495240197
MNIST_raw,6,74.61291666666668,3.733000332697298
MNIST_vae,6,91.58933333333336,3.1315275404891616
MNIST_simclr,6,70.41199999999999,3.591794237975389
MNIST_simclr_pca,6,40.50083333333334,2.0517347887275417
CIFAR_raw,8,21.3829,0.46935363168824823
CIFAR_vae,8,25.6267,0.5581500552813058
CIFAR_simclr,8,55.50179999999999,1.6519927233177314
CIFAR_simclr_pca,8,62.45129999999999,3.5023672761208395
FMNIST_raw,8,39.925583333333336,3.063445690005624
FMNIST_vae,8,58.50258333333335,1.1847957944563314
FMNIST_simclr,8,38.450999999999986,1.3453513639186088
FMNIST_simclr_pca,8,36.705916666666674,1.4608926890194247
MNIST_raw,8,72.36466666666666,4.181334204652164
MNIST_vae,8,90.11358333333335,5.520163127807216
MNIST_simclr,8,60.99274999999999,2.0962929041664196
MNIST_simclr_pca,8,41.19241666666667,2.6192248906456617
CIFAR_raw,10,21.254900000000003,0.26666712938556275
CIFAR_vae,10,24.0309,0.35134656754594307
CIFAR_simclr,10,51.806200000000004,2.1811697392864584
CIFAR_simclr_pca,10,60.4273,3.0435301023992705
FMNIST_raw,10,35.95483333333333,1.5420980335339376
FMNIST_vae,10,57.82491666666666,0.7683985920073183
FMNIST_simclr,10,32.49966666666666,1.9670234288362305
FMNIST_simclr_pca,10,32.8685,1.5702902197584387
MNIST_raw,10,67.58858333333333,5.4032849894208415
MNIST_vae,10,90.11775,4.967094214348116
MNIST_simclr,10,48.459,4.109013356054459
MNIST_simclr_pca,10,36.89325,2.17610444332197
CIFAR_raw,12,21.1441,0.14609077927601674
CIFAR_vae,12,22.3009,0.3974171744229418
CIFAR_simclr,12,48.5639,2.4196489936830865
CIFAR_simclr_pca,12,58.79350000000001,3.102661667190386
FMNIST_raw,12,35.26274999999999,2.2272368528151674
FMNIST_vae,12,51.43258333333332,2.216412495321031
FMNIST_simclr,12,31.879833333333334,1.0631299508515697
FMNIST_simclr_pca,12,30.225083333333338,1.2150857880093169
MNIST_raw,12,61.33166666666667,2.9838849828107086
MNIST_vae,12,85.6861666666667,5.398774636257694
MNIST_simclr,12,42.55024999999999,2.3337142718489727
MNIST_simclr_pca,12,41.253416666666666,2.428501419545979
CIFAR_raw,14,20.7653,0.331220565723045
CIFAR_vae,14,22.7498,0.4594504268545651
CIFAR_simclr,14,46.28339999999999,2.791965170948497
CIFAR_simclr_pca,14,55.90680000000001,3.8327097683520317
FMNIST_raw,14,35.003750000000004,2.1006017569325377
FMNIST_vae,14,51.03808333333334,1.9013943233340678
FMNIST_simclr,14,30.54583333333333,1.3618863229818945
FMNIST_simclr_pca,14,28.367250000000002,1.0143945382541102
MNIST_raw,14,60.11725,3.511724234326097
MNIST_vae,14,81.76983333333332,3.659440842629069
MNIST_simclr,14,41.03216666666667,2.76158612467122
MNIST_simclr_pca,14,42.173,2.8846438863189334
CIFAR_raw,16,21.890300000000003,0.35504738008505826
CIFAR_vae,16,23.002499999999994,0.5239915125869474
CIFAR_simclr,16,45.1074,3.3602471776250087
CIFAR_simclr_pca,16,54.680400000000006,3.6753794562423643
FMNIST_raw,16,34.13258333333333,2.260204311716478
FMNIST_vae,16,50.31450000000002,2.5501512453713406
FMNIST_simclr,16,30.575750000000006,1.6818749523264669
FMNIST_simclr_pca,16,27.934416666666664,0.819038138441808
MNIST_raw,16,57.58941666666666,1.875989662794624
MNIST_vae,16,78.51691666666667,3.9811497823092887
MNIST_simclr,16,39.39808333333334,2.93892137566475
MNIST_simclr_pca,16,40.108666666666664,2.22748268743149
CIFAR_raw,18,21.660800000000002,0.5743761466972122
CIFAR_vae,18,22.885299999999997,0.5105007964321839
CIFAR_simclr,18,43.72930000000001,2.716341756267446
CIFAR_simclr_pca,18,54.0678,3.0656257813991177
FMNIST_raw,18,33.70708333333333,2.33797419901571
FMNIST_vae,18,48.187916666666666,2.452083365007675
FMNIST_simclr,18,29.833416666666672,0.8007740179212727
FMNIST_simclr_pca,18,27.907000000000004,0.8688356125513192
MNIST_raw,18,58.691500000000005,3.5760420270107804
MNIST_vae,18,79.67741666666666,3.956058773082354
MNIST_simclr,18,39.29716666666666,2.1447224837175893
MNIST_simclr_pca,18,39.042249999999996,1.8762154169859255
CIFAR_raw,20,21.5061,0.5796479784725976
CIFAR_vae,20,22.662200000000002,0.449944979092473
CIFAR_simclr,20,44.703,2.3224853747202525
CIFAR_simclr_pca,20,54.09709999999999,2.9462093022444233
FMNIST_raw,20,32.82008333333334,1.7492026149110615
FMNIST_vae,20,47.45916666666667,2.0357679916408635
FMNIST_simclr,20,30.390666666666664,1.3336284103310434
FMNIST_simclr_pca,20,27.37966666666666,0.8932807329368841
MNIST_raw,20,58.432833333333335,2.1492450122791977
MNIST_vae,20,79.40200000000002,3.3119300833793233
MNIST_simclr,20,40.0705,2.212451413547863
MNIST_simclr_pca,20,38.13308333333334,2.2657928059453467
