dataset,extra_eigs,knn_mean,knn_std,fc_mean,fc_std,adaptive_mean,adaptive_std,biclique_mean,biclique_std
iris,0,55.14626666667203,3.8474461532252757,83.63513333333843,0.3318550478405814,76.86139999999915,7.948595770583574,54.824333333338984,2.1202284161980494
iris,1,75.17553333333075,12.241840678758166,84.06313333333472,2.324071829519185,76.64233333333279,11.871165360328227,70.6719999999978,11.643997826333067
iris,2,73.7642666666663,9.45221125232846,80.62433333333595,9.480691290762248,72.42806666666708,10.617561394579429,67.38340000000048,13.035474552147303
iris,3,66.00646666666619,11.340067416300222,77.11853333333434,8.580312142864049,63.30246666666658,10.186564215897723,64.92993333333332,9.74478596041136
iris,4,67.18753333333325,10.634508110269408,75.28453333333161,6.721772509647735,63.76733333333331,10.246296262706577,60.858266666666474,9.029215414530164
iris,5,61.076466666667095,9.216703607538088,73.71693333333313,8.528703980431331,60.74773333333336,9.518141679497736,62.568466666666524,10.64763534397597
iris,6,59.825000000000024,8.657257894730296,71.34566666666626,8.968420028708326,58.754600000000096,8.73840777101829,57.55273333333333,7.810383933140012
iris,7,61.986200000000096,9.477366749099593,74.71973333333355,10.107230612342093,61.18560000000002,9.36536475419037,58.648933333333524,7.929406294825537
iris,8,62.77386666666668,9.704256390155573,72.86273333333334,8.5270592848495,57.753200000000234,8.661732767967193,58.25306666666679,7.640274513503189
iris,9,61.988266666666526,9.394654476169201,72.57293333333294,9.39253796225987,57.454,8.77470513531297,56.89333333333312,7.5643454397715875
wine,0,94.60398876403869,0.274661014969223,98.02224719101633,0.28067901557498903,94.56011235955158,0.49175361651360744,87.62825842696184,5.285829685191485
wine,1,91.2524719101213,5.39269161648658,97.42028089887691,2.4205602872561562,92.13140449438575,4.774536807147981,87.49522471910744,6.612169344276455
wine,2,90.58174157302945,6.291251448523096,98.08162921347166,2.1451099287792714,88.65719101123618,7.6504678306816585,83.66994382022924,10.673809003692671
wine,3,86.99067415730508,7.69434137823793,93.70882022471562,3.8081174572359595,86.2004494382026,8.98219156372621,73.35814606741631,11.63647518323083
wine,4,85.71303370786931,8.62510109900118,92.33050561797836,5.138393788806296,84.81359550561545,9.612444336771189,82.04876404494655,10.204672347018857
wine,5,84.29033707865615,8.99512559314054,90.88685393258689,5.8514959302383405,80.21404494382062,12.099676306764447,78.66039325842921,10.767369372825618
wine,6,84.61466292135096,10.038797850862348,89.37943820225266,6.3805633593684865,78.94898876404483,12.225032778913532,75.878988764046,11.559413866011367
wine,7,79.27640449438033,11.540333048573704,89.96898876404796,7.663741798976405,75.92926966292129,12.106570714000865,73.23842696629265,11.613980000532399
wine,8,75.49320224719105,11.834355547878754,88.50016853932527,8.489418706336053,71.98432584269673,12.449102963499241,74.11730337078639,11.867867578715872
