experiment,dataset,time
knn_10,FMNIST_raw,75.90422720892354
knn_500,CIFAR_vae,77.90798899021
knn_250,CIFAR_simclr,79.51534143659286
knn_250,FMNIST_simclr,81.14703386239708
knn_300,CIFAR_simclr,86.08355703871698
knn_100,FMNIST_raw,86.73890353323891
knn_500,MNIST_vae,85.21799768290482
knn_300,FMNIST_simclr,87.22074230469764
knn_150,CIFAR_vae,88.55018240535632
knn_15,MNIST_raw,87.35432279570028
knn_10,MNIST_raw,85.75548604305834
knn_350,FMNIST_simclr,89.76048317404464
knn_350,MNIST_simclr,88.66054948410951
knn_350,CIFAR_simclr,91.86680107538588
knn_5,MNIST_raw,90.41939998242071
knn_300,MNIST_simclr,89.51032306768
knn_25,MNIST_raw,91.84375252570024
knn_20,MNIST_raw,93.83029225638136
knn_400,CIFAR_simclr,96.50786366183311
knn_100,MNIST_raw,97.41627875865436
knn_150,FMNIST_raw,101.23930783513931
knn_450,CIFAR_simclr,103.13998014219104
knn_400,FMNIST_simclr,103.5132765533682
knn_500,CIFAR_simclr,109.41594232037664
knn_450,MNIST_simclr,107.68309088877402
knn_200,CIFAR_vae,113.65611094329506
knn_500,FMNIST_simclr,112.63446780697444
knn_200,FMNIST_raw,116.5791185992118
knn_250,FMNIST_raw,117.64116228443572
knn_150,MNIST_raw,118.2643517936766
knn_450,FMNIST_simclr,130.2198850578256
knn_500,MNIST_simclr,129.9921857310552
knn_250,CIFAR_vae,133.0934265454486
knn_250,MNIST_raw,132.71347627296112
knn_300,FMNIST_raw,134.31089232755824
knn_200,MNIST_raw,135.44692247391677
knn_400,MNIST_simclr,140.21329656595364
knn_400,FMNIST_raw,147.17857015253975
knn_350,MNIST_raw,156.89413205767983
knn_450,FMNIST_raw,161.83414535384625
knn_300,MNIST_raw,160.53110947288573
knn_350,FMNIST_raw,166.4979747032281
knn_400,MNIST_raw,185.5687446355261
knn_450,MNIST_raw,185.3843514378928
knn_500,MNIST_raw,190.3443001238629
knn_500,FMNIST_raw,197.92369170908816
knn_15,CIFAR_raw,242.4823883390985
knn_20,CIFAR_raw,242.7072545048222
knn_10,CIFAR_raw,246.4852912928071
knn_5,CIFAR_raw,248.12971106882208
knn_25,CIFAR_raw,287.6576718970295
knn_50,CIFAR_raw,291.2592601151392
knn_100,CIFAR_raw,349.6099992959574
knn_150,CIFAR_raw,438.0328733891808
knn_200,CIFAR_raw,449.96857922461817
knn_250,CIFAR_raw,488.2981691488624
knn_300,CIFAR_raw,514.3665567974654
knn_350,CIFAR_raw,553.592923891684
knn_400,CIFAR_raw,577.3993316601868
knn_450,CIFAR_raw,587.6097448940855
knn_500,CIFAR_raw,597.6969284584652
